ID,Country_Region,Date,ConfirmedCases,Fatalities
105,Georgia,5/5/2020,28269,1278
106,Georgia,5/6/2020,29198,1309
107,Georgia,5/7/2020,29679,1336
108,Georgia,5/8/2020,30239,1378
109,Georgia,5/9/2020,30730,1381
110,Georgia,5/10/2020,31250,1382
111,Georgia,5/11/2020,31534,1418
112,Georgia,5/12/2020,32207,1473
113,Georgia,5/13/2020,32582,1494
114,Georgia,5/14/2020,33059,1522
115,Georgia,5/15/2020,33598,1563
116,Georgia,5/16/2020,33868,1573
117,Georgia,5/17/2020,33943,1585
118,Georgia,5/18/2020,34418,1624
119,Georgia,5/19/2020,35078,1650
120,Georgia,5/20/2020,35730,1671
121,Georgia,5/21/2020,36505,1747
122,Georgia,5/22/2020,37238,1779
123,Georgia,5/23/2020,37726,1794
124,Georgia,5/24/2020,38332,1799
125,Georgia,5/25/2020,39120,1820
126,Georgia,5/26/2020,40276,1867
127,Georgia,5/27/2020,41341,1904
128,Georgia,5/28/2020,42044,1942
129,Georgia,5/29/2020,42881,1956
130,Georgia,5/30/2020,43134,1973
131,Georgia,5/31/2020,43353,2018
132,Georgia,6/1/2020,44249,2059
133,Georgia,6/2/2020,44502,2070
134,Georgia,6/3/2020,45373,2092
135,Georgia,6/4/2020,46344,2118
136,Georgia,6/5/2020,47237,2141
137,Georgia,6/6/2020,47816,2145
138,Georgia,6/7/2020,47968,2146
139,Georgia,6/8/2020,48673,2174
140,Georgia,6/9/2020,49478,2249
141,Georgia,6/10/2020,50305,2291
142,Georgia,6/11/2020,51313,2335
143,Georgia,6/12/2020,52180,2383
144,Georgia,6/13/2020,53199,2409
145,Georgia,6/14/2020,53199,2413
146,Georgia,6/15/2020,53954,2452
147,Georgia,6/16/2020,54832,2490
148,Georgia,6/17/2020,56063,2534
149,Georgia,6/18/2020,56893,2564
